"course_id","operator","requisite_course_id_1","requisite_course_id_2"
"ENGL 10C","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"ENGL M191C","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"GERMAN 4","AND","GERMAN 3",""
"A&O SCI 103","OR","MATH 3B","MATH 31B"
"HEBREW C140","AND","HEBREW 103A",""
"PHYSICS 17","AND","MATH 32B",""
"ECON 106EL","AND","ECON 106E",""
"MATH 132H","AND","MATH 32B",""
"PHYSICS 18L","AND","PHYSICS 1A",""
"COM SCI 111","AND","COM SCI 32",""
"ENGL 170C","AND","ENGL 10C",""
"LIFESCI 3","AND","LIFESCI 23L",""
"ECON 11","AND","MATH 31A",""
"EDUC M190","AND","EDUC M104",""
"CHEM 30AL","AND","CHEM 30A",""
"ECON 41","AND","MATH 31B",""
"ASTR 81","OR","PHYSICS 1A","PHYSICS 1AH"
"ASTR 81","AND","MATH 31A",""
"PHYSCI 167","AND","CHEM 14B",""
"MGMT 120B","AND","MGMT 120A",""
"EL ENGR M116L","AND","EL ENGR M16",""
"EPS SCI 211","AND","PHYSICS 112",""
"PSYCH 135","AND","PSYCH 10",""
"MATH 120A","AND","MATH 115A",""
"COM SCI 130","AND","COM SCI 111",""
"COM LIT 2DW","OR","ENGCOMP 3","English as A Second Language 36"
"ANTHRO M140","OR","ANTHRO 33","LING 20"
"CHEM C265","AND","CHEM 153A",""
"DANCE C122","AND","DANCE 67B",""
"M PHARM M262B","AND","M PHARM M262A",""
"ANTHRO 111","AND","ANTHRO 8",""
"CHEM C215B","AND","MATH 32A",""
"ENV HLT 202","AND","ENV HLT C200A",""
"MATH 105B","OR","MATH 123","MATH 120A"
"C&EE 151","AND","MECH&AE 103",""
"ECON 111","AND","ECON 103",""
"MCD BIO CM156","AND","LIFESCI 23L",""
"GE CLST M72B","AND","GE CLST M72A",""
"SPAN 27","AND","SPAN 5",""
"ECON 2","AND","ECON 1",""
"PSYCH 126","OR","PSYCH 127A","PSYCH 127B"
"EPS SCI 136A","AND","PHYSICS 6C",""
"ASTR 115","AND","MATH 33B",""
"LIFESCI 192F","AND","LIFESCI 3",""
"ECON 103L","OR","STATS 100A","MATH 170A"
"SCAND 50W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"STATS M250","AND","EPIDEM 200C",""
"PSYCH 130","AND","PSYCH 10",""
"CHEM C115B","AND","MATH 32B",""
"ENGL M107B","OR","ENGCOMP 3","Satisfaction on Entry-Level Writing Requirement"
"PSYCH 191BH","AND","PSYCH 198",""
"C&EE 108","AND","PHYSICS 1A",""
"PSYCH 451","AND","PSYCH 401",""
"MGMT 231C","AND","MGMT 408",""
"MCD BIO 165A","AND","LIFESCI 3",""
"STATS 188SB","AND","STATS 188SA",""
"CHEM 192A","AND","CHEM 14BL",""
"THEATER C155E","OR","THEATER 147A","THEATER 147B"
"NURSING 467","AND","NURSING 462",""
"EPIDEM 292","AND","EPIDEM 200B",""
"ENGL 125","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"CHEM 192B","OR","CHEM 30AL","SCI EDU 100SL"
"EL ENGR 111L","AND","EL ENGR 11L",""
"MATH 131B","AND","MATH 131A",""
"BMD RES 188SB","AND","BMD RES 188SA",""
"BIOENGR 120","AND","MATH 32B",""
"EPIDEM 200B","AND","BIOSTAT 100A",""
"MSC HST 125E","AND","MSC HST M6B",""
"GREEK 105","AND","GREEK 100",""
"ENV HLT 261","AND","ENV HLT C200A",""
"COMM ST 100","OR","COMM ST 10","PSYCH 10"
"ENGR 183EW","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"ENGL 137","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"COM HLT 276","AND","HLT POL 100",""
"PSYCH 270B","AND","PSYCH 271B",""
"PHYSCI 111A","AND","LIFESCI 4",""
"EPIDEM 412","AND","BIOSTAT 100A",""
"THEATER 131A","AND","THEATER 130A",""
"MECH&AE 150A","AND","MECH&AE 103",""
"ENGL 145","AND","ENGL 10B",""
"I A STD M15B","AND","I A STD M15A",""
"EL ENGR 115C","AND","EL ENGR 115A",""
"MGMT 231E","OR","MGMT 230","MGMT 430"
"CAEM M250","OR","Conservation of Archaeological and Ethnographic Materials M210","MAT SCI M216"
"HEBREW 103B","AND","HEBREW 102C",""
"EPS SCI 136A","AND","PHYSICS 6B",""
"CHEM 156","AND","CHEM 110A",""
"MUSC 110B","AND","MUSC 120A",""
"ENGL 138","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"EL ENGR 170A","AND","EL ENGR 2",""
"STATS 100B","OR","STATS 100A","MATH 170A"
"CHEM CM260B","OR","BIOSTAT 100A","BIOSTAT 110A"
"NURSING 445","AND","NURSING 220",""
"NURSING 171","AND","NURSING 464",""
"PUB HLT 188SB","AND","PUB HLT 188SA",""
"INTL DV 191","AND","INTL DV M120",""
"CHEM 14A","OR","MATH 3A","MATH 31A"
"MECH&AE 102","AND","PHYSICS 1A",""
"PSYCH 136A","AND","PSYCH 135",""
"CHEM 188SB","AND","CHEM 188SA",""
"STATS 100A","AND","MATH 32B",""
"COM SCI 112","AND","COM SCI 111",""
"PUB PLC M268","AND","BIOSTAT 100A",""
"EE BIOL C242","AND","LIFESCI 1",""
"CHIN 151","OR","ENGCOMP 3","English as A Second Language 36"
"PHYSICS 1C","AND","MATH 33A",""
"STATS C180","AND","STATS 100B",""
"SOC WLF 202B","AND","SOC WLF 201B",""
"ENV HLT 202","AND","ENV HLT C200B",""
"C&EE 135B","AND","C&EE 135A",""
"CHEM C215B","AND","MATH 32B",""
"ASIA AM 30W","OR","ENGCOMP 3","English as A Second Language 36"
"EE BIOL 170","AND","LIFESCI 1",""
"ART 147","AND","ART 11B",""
"CHIN 151","OR","COM LIT 1C","COM LIT 1D"
"EE BIOL 193","OR","Ecology and Evolutionary Biology 198A","Ecology and Evolutionary Biology 198B"
"LIFESCI 192E","AND","LIFESCI 30A",""
"CH ENGR C112","AND","CHEM 30A",""
"MATH 174E","AND","ECON 11",""
"WL ARTS C180","AND","WL ARTS 80",""
"CLASSIC 191","AND","CLASSIC 10",""
"CHEM C126A","AND","CHEM 110A",""
"ENGL 111A","OR","ENGCOMP 3","English as A Second Language 36"
"EL ENGR 102","AND","MATH 33A",""
"FILM TV 102B","AND","FILM TV 102A",""
"MAT SCI 143A","AND","MAT SCI 104",""
"ENGL 120","AND","ENGL 10A",""
"ENGL 162A","AND","ENGL 10B",""
"NEUROSC 188SB","AND","NEUROSC 188SA",""
"FILM TV C154B","AND","FILM TV 185",""
"MATH 171","OR","MATH 170A","STATS 100A"
"PSYCH M117B","AND","LIFESCI 3",""
"EPS SCI 136A","AND","EPS SCI 71",""
"NURSING 239A","AND","NURSING 200",""
"MCD BIO 104AL","AND","LIFESCI 4",""
"LING 132","AND","LING 20",""
"ECON 107","AND","ECON 11",""
"CHEM 153C","OR","CHEM 153A","CHEM 153AH"
"PHYSICS 1BH","OR","PHYSICS 1AH","PHYSICS 1A"
"BIOINFO M260B","OR","MATH 170A","STATS 100A"
"THEATER C152B","AND","THEATER 14A",""
"NURSING 467","AND","NURSING 464",""
"THEATER C456A","AND","THEATER 147A",""
"ENGCOMP 1B","OR","ENGCOMP 1A","Demonstrated Proficiency on Analytical Writing Placement Exam or English as a Second Language Placement Exam"
"JAPAN 2","AND","JAPAN 1",""
"ECON 131L","AND","ECON 103",""
"NURSING 254B","AND","NURSING 254A",""
"EE BIOL 110","AND","LIFESCI 3",""
"MGMT 294","OR","MGMT 405","ECON 201A"
"MUSC 188SB","AND","HNRS 101E",""
"PSYCH 134E","AND","PSYCH 134B",""
"LING 165B","AND","LING 120B",""
"PHYSICS 87","AND","PHYSICS 1B",""
"LIFESCI 192E","AND","LIFESCI 30B",""
"LIFESCI 4","OR","CHEM 14A","CHEM 20A"
"PHYSCI 111A","AND","LIFESCI 2",""
"GE CLST 20B","AND","GE CLST 20A",""
"PSYCH 134B","AND","PSYCH 10",""
"EL ENGR 121DA","AND","EL ENGR 121B",""
"THEATER 173B","AND","THEATER 14B",""
"SOCIOL 113","AND","STATS 10",""
"CH ENGR 108A","OR","CH ENGR 106","CH ENGR C115"
"CHEM 30CL","AND","CHEM 30B",""
"MSC HST 12W","OR","ENGCOMP 3","English as A Second Language 36"
"HNRS 11W","OR","ENGCOMP 3","English as A Second Language 36"
"DESMA 157","AND","Design / Media Arts 22",""
"PSYCH 186C","AND","PSYCH 100B",""
"THEATER C163D","AND","THEATER 163C",""
"EE BIOL 153","AND","CHEM 14A",""
"EL ENGR 131A","AND","EL ENGR 102",""
"ENGL 179","AND","ENGL 10C",""
"CHEM 14BL","AND","CHEM 14B",""
"PHILOS 175","OR","PHILOS 21","PHILOS 22"
"URBN PL M272","AND","URBN PL 220B",""
"COMPTNG 16","AND","COMPTNG 10A",""
"ENV HLT 209","AND","ENV HLT C200B",""
"FILM TV 135B","AND","FILM TV 135A",""
"ENGL 110A","AND","ENGL 10B",""
"VIETMSE 2","AND","VIETMSE 1",""
"PSYCH 136A","AND","PSYCH 10",""
"MECH&AE 157","AND","MECH&AE 96",""
"MATH 155","AND","MATH 33B",""
"EDUC 188SB","AND","HNRS 101E",""
"ARABIC 103B","AND","ARABIC 102B",""
"MUSC 166W","AND","MUSC 66S",""
"LBR&WS M166B","AND","LBR&WS M166A",""
"BIOENGR C185","AND","CHEM 20A",""
"ETHNMUS 71FW","AND","ETHNMUS 71FF",""
"PSYCH 401","AND","PSYCH 271C",""
"MCD BIO 193","OR","MCD BIO 198A","MCD BIO 198B"
"EPIDEM 292","AND","EPIDEM 200C",""
"FRNCH 3","AND","FRNCH 2",""
"PSYCH 121","AND","PSYCH 10",""
"EE BIOL 116","AND","LIFESCI 1",""
"MIMG 185A","AND","LIFESCI 4",""
"THAI 2","AND","THAI 1",""
"TURKIC 102B","AND","TURKIC 101C",""
"CHIN 100B","AND","CHIN 100A",""
"MAT SCI 120","AND","MAT SCI 104",""
"ENGL 180R","AND","ENGL 10A",""
"NEUROSC 188SB","AND","HNRS 101E",""
"CHEM CM160B","OR","BIOSTAT 110A","MATH 170A"
"EE BIOL 110","AND","LIFESCI 2",""
"ENGL 10C","AND","ENGL 10A",""
"MATH 32A","AND","MATH 31A",""
"EL ENGR 163DA","AND","EL ENGR 101B",""
"NURSING 162D","AND","NURSING 162B",""
"INF STD 298B","AND","INF STD 298A",""
"INDO 100B","AND","INDO 100A",""
"PHYSCI 187A","AND","PHYSCI 111A",""
"COM SCI 118","AND","COM SCI 111",""
"ENGL 179","AND","ENGL 10A",""
"MAT SCI 104","AND","CHEM 20L",""
"ENGL 180","AND","ENGL 10C",""
"CHEM C265","AND","CHEM 153C",""
"GEOG 145","OR","GEOG 4","ANTHRO 9"
"MATH 33AH","OR","MATH 32A","MATH 3B"
"LING 165C","AND","LING 120C",""
"GRNTLGY M119O","AND","PSYCH 115",""
"NURSING 429A","AND","NURSING 200",""
"PSYCH 133E","AND","PSYCH 100A",""
"BIOSTAT 256","AND","BIOSTAT 202A",""
"CHICANO M15B","AND","CHICANO M15A",""
"GE CLST 73B","AND","GE CLST 73A",""
"THEATER 180","AND","THEATER 101A",""
"MATH 110B","OR","MATH 110A","MATH 117"
"BIOENGR C107","OR","BIOENGR C104","BIOENGR C105"
"COM SCI 172","AND","COM SCI 32",""
"PSYCH 131","OR","PSYCH 133E","PSYCH 133F"
"POL SCI M105","OR","POL SCI 20","POL SCI 30"
"EPIDEM M252","AND","EPIDEM 200B",""
"EE BIOL 185","AND","LIFESCI 1",""
"NURSING 416D","AND","NURSING 416C",""
"ETHNMUS 127B","AND","ETHNMUS 127A",""
"PHYSCI 187A","OR","PHYSCI 111B","NEUROSC M101A"
"STATS 140SL","AND","STATS 130",""
"EE BIOL 115","AND","LIFESCI 1",""
"LIFESCI 4","AND","LIFESCI 3",""
"C&S BIO M185","AND","MATH 33A",""
"ETHNMUS 71GW","AND","ETHNMUS 71GF",""
"ENGL 169","AND","ENGL 10A",""
"VIETMSE 100B","AND","VIETMSE 6",""
"EE BIOL 110","AND","LIFESCI 1",""
"MATH 184","AND","MATH 61",""
"INF STD 434","AND","INF STD 431",""
"ETHNMUS 183","AND","ETHNMUS 10B",""
"CHEM 153L","OR","CHEM 153A","CHEM 153AH"
"DESMA 157","OR","Design / Media Arts 101","Design / Media Arts 104"
"ENGL M101C","OR","ENGCOMP 3","Satisfaction on Entry-Level Writing Requirement"
"MATH 155","AND","COMPTNG 10A",""
"EPS SCI 240","OR","Earth and Space Sciences 200C","PHYSICS 210A"
"EL ENGR 180DB","AND","EL ENGR 180DA",""
"MCD BIO M175B","OR","NEUROSC M101A","PSYCH 115"
"ENGL 10B","AND","ENGL 4W",""
"CH ENGR 107","AND","CH ENGR 101C",""
"CHEM C215B","AND","MATH 31B",""
"MATH 269B","AND","MATH 115A",""
"CH ENGR 107","OR","CH ENGR 106","CH ENGR C115"
"BIOSTAT 201B","AND","BIOSTAT 201A",""
"NURSING 239A","AND","NURSING 231",""
"MATH 142","AND","MATH 33B",""
"NURSING 438C","AND","NURSING 238C",""
"INTL DV 191","AND","INTL DV 130",""
"ENGL 140B","AND","ENGL 10B",""
"HEBREW 103B","AND","HEBREW 102B",""
"MIMG 10","OR","LIFESCI 30A","LIFESCI 30B"
"POL SCI M105","OR","POL SCI 10","POL SCI 20"
"PHYSICS 6C","AND","PHYSICS 6B",""
"MATH 115B","AND","MATH 115A",""
"C&EE 156B","AND","CHEM 20A",""
"EE BIOL 153","OR","CHEM 14BL","CHEM 20A"
"PHYSICS 18L","AND","PHYSICS 4AL",""
"EPIDEM 233","OR","EPIDEM 100","EPIDEM 200A"
"PSYCH 120A","AND","PSYCH 10",""
"KOREA 101B","AND","KOREA 101A",""
"MUSC 20B","AND","MUSC 20A",""
"POL SCI M105","OR","POL SCI 40","POL SCI 50"
"EL ENGR 123B","AND","EL ENGR 123A",""
"SOC GEN 188SB","AND","HNRS 101E",""
"ETHNMUS M6B","AND","ETHNMUS M6A",""
"MUSC C158","AND","MUSC 74C",""
"ECON 103L","AND","ECON 103",""
"PHYSICS 18L","AND","PHYSICS 1B",""
"CHEM 110A","OR","PHYSICS 1CH","PHYSICS 6A"
"COMM ST 188SB","AND","HNRS 101E",""
"CHEM 153A","OR","CHEM 14D","CHEM 30B"
"ANTHRO 172B","AND","ANTHRO 172A",""
"MUSC 110B","AND","MUSC 20A",""
"LIFESCI 2","OR","CHEM 14A","CHEM 20A"
"POL SCI 149","AND","POL SCI 40",""
"C&EE M135C","OR","MECH&AE 156A","MECH&AE 166A"
"ENGL 170C","AND","ENGL 10A",""
"CAEM M250","AND","Conservation of Archaeological and Ethnographic Materials 264",""
"CHEM 110A","OR","MATH 32A","MATH 3C"
"CHEM 153L","OR","LIFESCI 23L","CHEM 20L"
"DANCE C122","AND","DANCE 67A",""
"CHEM 14D","AND","CHEM 14C",""
"EE BIOL C126","AND","Ecology and Evolutionary Biology 100",""
"ECON 106V","AND","ECON 102",""
"ENVIRON M134","OR","ECON 41","STATS 12"
"BIOINFO M260B","OR","C&EE 110","EL ENGR 131A"
"MUSC C167","OR","MUSC 164BW","MUSC 164BS"
"CHEM 153L","AND","CHEM 14BL",""
"PHYSCI 138","AND","CHEM 153A",""
"MECH&AE 103","AND","PHYSICS 1B",""
"FILM TV 410E","AND","FILM TV 410D",""
"FILM TV 186B","AND","FILM TV 186A",""
"FILIPNO 5","AND","FILIPNO 4",""
"ENV HLT 202","AND","ENV HLT 410B",""
"EPS SCI 103A","AND","CHEM 14BL",""
"JAPAN 100B","AND","JAPAN 100A",""
"EE BIOL C242","OR","MATH 32A","LIFESCI 30B"
"CHICANO M105B","OR","ENGCOMP 3","English as A Second Language 36"
"CHEM 153D","AND","LIFESCI 3",""
"ECON 191","AND","ECON 102",""
"ECON 103","OR","ECON 41","STATS 100A"
"COM SCI CM122","OR","BIOSTAT 100A","BIOSTAT 110A"
"MUSC M201","AND","MUSCLG 200A",""
"ECON M134","OR","STATS 12","STATS 13"
"NURSING 115","AND","NURSING 54B",""
"PHYSCI C252","AND","PHYSCI 111A",""
"ETHNMUS 71CW","AND","ETHNMUS 71CF",""
"HEBREW 188FL","AND","HEBREW 102C",""
"PSYCH 121","AND","PSYCH 100A",""
"PSYCH 133A","AND","PSYCH 100A",""
"FILIPNO 2","AND","FILIPNO 1",""
"GEOG M171","OR","STATS 10","STATS 11"
"LING 103","AND","LING 20",""
"CHEM 184","AND","CHEM 110A",""
"MIMG CM156","AND","LIFESCI 3",""
"THAI 5","AND","THAI 4",""
"MECH&AE 102","AND","MATH 33A",""
"CHIN 5","AND","CHIN 4",""
"ENV HLT 261","AND","CHEM 20A",""
"LING 132","OR","LING 119A","LING 120A"
"POL SCI 141E","AND","POL SCI 30",""
"ENGL 127","AND","ENGL 10C",""
"PHILOS 153A","AND","PHILOS 22",""
"PHILOS 135","AND","PHILOS 31",""
"MATH 155","AND","MATH 115A",""
"EE BIOL C242","AND","Ecology and Evolutionary Biology 100",""
"CIVIC 188SB","AND","HNRS 101E",""
"ECON 111","AND","ECON 11",""
"RELIGN M60W","OR","ENGCOMP 3","English as A Second Language 36"
"AFRKAAN 40","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"SOC WLF 202B","AND","SOC WLF 201A",""
"EPIDEM 412","AND","EPIDEM 200B",""
"CHEM CM260B","OR","STATS 100A","C&EE 110"
"MATH 135","AND","MATH 33B",""
"SOCIOL 212B","AND","SOCIOL 212A",""
"MECH&AE 162D","OR","MECH&AE 162A","MECH&AE 171A"
"C&EE 108","AND","C&EE 101",""
"ENGCOMP 2","OR","ENGCOMP A","Demonstrated Proficiency on Analytical Writing Placement Exam"
"ECON 103","OR","STATS 100A","MATH 170A"
"CHEM C143A","AND","CHEM 30CL",""
"SOC WLF 229B","AND","SOC WLF 229A",""
"ENGL 138","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"ASIA AM M191F","OR","ENGCOMP 3","English as A Second Language 36"
"ENV HLT 261","AND","MATH 3A",""
"CH ENGR C212","AND","CHEM 30A",""
"ENGL M104B","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"EE BIOL 170","AND","CHEM 30BL",""
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198A","Ecology and Evolutionary Biology 198B"
"ENGL 164C","AND","ENGL 10B",""
"POL SCI 188SB","AND","HNRS 101E",""
"CHEM 14B","OR","MATH 3B","MATH 31B"
"WL ARTS C182","AND","WL ARTS 104",""
"COMM ST 112","OR","COMM ST 120","COMM ST 126"
"ENGCOMP 3","OR","ENGCOMP 2I","Satisfaction on Entry-Level Writing Requirement"
"MCD BIO 199B","AND","LIFESCI 3",""
"PHYSICS 87","AND","CHEM 20A",""
"HNRS 87W","AND","ENGCOMP 3",""
"EE BIOL 170","OR","MATH 3C","MATH 32A"
"EE BIOL C234","AND","LIFESCI 1",""
"PHYSICS 4BL","OR","PHYSICS 1B","PHYSICS 1BH"
"PHYSICS 1BH","AND","MATH 32B",""
"ETHNMUS 71BW","AND","ETHNMUS 71BF",""
"C&EE 156B","AND","CHEM 20B",""
"PSYCH 196A","OR","PSYCH 194B","PSYCH 194C"
"MOL TOX M242","AND","ENV HLT C240",""
"DESMA 154","OR","Design / Media Arts 101","Design / Media Arts 104"
"PHYSCI 167","AND","CHEM 30B",""
"MUSC 119B","AND","MUSC 20B",""
"GEOG 145","OR","GENDER 10","SOCIOL 1"
"PSYCH 131","AND","PSYCH 130",""
"PSYCH 134B","AND","PSYCH 133X",""
"ENGL 180","AND","ENGL 10A",""
"MATH 151A","AND","COMPTNG 10A",""
"DESMA 252B","AND","Design / Media Arts 252A",""
"PHYSICS 87","AND","PHYSICS 6A",""
"CHEM 14B","OR","MATH 31B","LIFESCI 30B"
"MIMG 101","AND","LIFESCI 4",""
"ECON 122","AND","ECON 102",""
"COMM ST 100","OR","LING 1","SOCIOL 1"
"ETHNMUS 171DW","AND","ETHNMUS 171DF",""
"PHYSICS 1BH","AND","MATH 31B",""
"PHILOS 22W","OR","ENGCOMP 3","English as A Second Language 36"
"PSYCH 135","AND","PSYCH 100A",""
"EDUC M182A","AND","EDUC M194A",""
"CHEM 153B","AND","LIFESCI 2",""
"NURSING 150B","AND","NURSING 150A",""
"PHYSICS 1BH","AND","MATH 32A",""
"CHEM C115B","AND","MATH 31A",""
"MC&IP M262B","AND","MC&IP M262A",""
"MCD BIO M175B","AND","LIFESCI 3",""
"EPIDEM 200B","AND","BIOSTAT 100B",""
"FILM TV C152C","AND","FILM TV 101A",""
"C&EE 108","AND","MATH 32B",""
"THEATER C104I","AND","THEATER 14A",""
"ART 137","AND","ART 11D",""
"PHYSCI 120","AND","PHYSCI 111A",""
"EPIDEM 188SB","AND","HNRS 101E",""
"ECON 11","AND","ECON 2",""
"PHYSCI 138","AND","PHYSCI 111B",""
"ETHNMUS 71AW","AND","ETHNMUS 71AF",""
"PSYCH M117B","AND","LIFESCI 4",""
"PHYSICS 87","AND","PHYSICS 1C",""
"GEOG 145","OR","ANTHRO 9","GENDER 10"
"MUSC 106B","AND","MUSC 106A",""
"MATH 32B","AND","MATH 31B",""
"ENGL 120","AND","ENGL 10B",""
"NURSING 216A","AND","NURSING 224",""
"MAT SCI 111","AND","MAT SCI 104",""
"NEUROSC M101B","AND","LIFESCI 4",""
"BIOENGR 180","AND","BIOENGR 110",""
"CHIN 101B","OR","CHIN 100C","CHIN 100I"
"LING M141","AND","LING 20",""
"PSYCH 126","AND","PSYCH 10",""
"CHEM C115B","AND","MATH 33A",""
"ETHNMUS 171BW","AND","ETHNMUS 171BF",""
